"" ,"SampleID" ,"Species" ,"Colony" ,"Volume" ,"HPC" ,"PercentBleached" ,"PercentDead" ,"TrayNum" ,"TrayWt" ,"DW" ,"AW" ,"AFDW" ,"pcAFDW" ,"SA" ,"Check" ,"Compromised" ,"Aqua" ,"Tank" ,"Nuts"
"63" ,21 ,"Montipora" ,3 ,2 ,"P" ,0 ,5 ,190 ,0.99605 ,2.10815 ,1.99775 ,0.1104 ,0.052368190119299 ,6.06906793904683 ,NA ,FALSE ,9 ,"Near" ,"High"
"64" ,22 ,"Montipora" ,1 ,7 ,"P" ,0 ,0 ,308 ,1.01068 ,6.02302 ,5.71522 ,0.307799999999999 ,0.0511039312504357 ,28.8469991177668 ,NA ,FALSE ,9 ,"Near" ,"High"
"65" ,22 ,"Montipora" ,2 ,6 ,"C" ,0 ,5 ,307 ,1.00293 ,4.15847 ,3.91567 ,0.242800000000001 ,0.0583868586282938 ,18.3523062730636 ,NA ,TRUE ,9 ,"Near" ,"High"
"66" ,22 ,"Montipora" ,3 ,1 ,"C" ,0 ,20 ,306 ,1.00169 ,0.59951 ,0.56211 ,0.0373999999999999 ,0.062384280495738 ,3.60232618835316 ,NA ,TRUE ,9 ,"Near" ,"High"
"67" ,23 ,"Montipora" ,1 ,4 ,"CP" ,0 ,5 ,180 ,1.02886 ,3.39934 ,3.24424 ,0.1551 ,0.0456265039684174 ,14.7689064920048 ,NA ,TRUE ,9 ,"Near" ,"High"
"68" ,23 ,"Montipora" ,2 ,5 ,"C" ,0 ,5 ,181 ,1.02369 ,3.61191 ,3.42211 ,0.1898 ,0.0525483746826471 ,11.5924244677739 ,NA ,TRUE ,9 ,"Near" ,"High"
"69" ,23 ,"Montipora" ,3 ,3 ,"C" ,0 ,5 ,182 ,1.00962 ,2.36178 ,2.22898 ,0.1328 ,0.0562287766006995 ,11.0971834769058 ,NA ,TRUE ,9 ,"Near" ,"High"
"70" ,24 ,"Montipora" ,1 ,4 ,"CP" ,50 ,50 ,302 ,1.00578 ,3.93932 ,3.75582 ,0.1835 ,0.0465816435323864 ,22.3962486316177 ,NA ,TRUE ,9 ,"Near" ,"High"
"71" ,24 ,"Montipora" ,2 ,6 ,"C" ,0 ,5 ,301 ,0.99164 ,4.80996 ,4.60096 ,0.209 ,0.0434515047942186 ,19.0998993611895 ,NA ,TRUE ,9 ,"Near" ,"High"
"72" ,24 ,"Montipora" ,3 ,1 ,"C" ,50 ,50 ,300 ,1.00008 ,0.83202 ,0.78322 ,0.0488 ,0.0586524362395134 ,3.79159026129641 ,NA ,TRUE ,9 ,"Near" ,"High"
